deltaE,probe,matchedHex,isBackground,sharePercent,memberBins,labDistanceToProbe
10,"ink-mid",#4e3b2c,false,5.7252,17,0.00
10,"blue-accent",#586571,false,0.2811,22,4.82
10,"green-accent",#6c7e6a,false,0.1388,14,0.00
10,"gray-accent",#586571,false,0.2811,22,11.18
10.5,"background (deltaE=14 anchor)",#c7b9a4,true,57.2155,28,0.00
10.5,"highlight/cream",#e9dccb,false,6.8907,18,3.60
10.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
10.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
10.5,"blue-accent",#586571,false,0.2811,22,4.82
10.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
10.5,"gray-accent",#586571,false,0.2811,22,11.18
11,"background (deltaE=14 anchor)",#c7b9a4,true,60.1851,31,0.00
11,"highlight/cream",#eadecf,false,5.4639,17,2.93
11,"ink-dark",#2e1e11,false,2.2543,14,0.00
11,"ink-mid",#4e3b2c,false,5.7252,17,0.00
11,"blue-accent",#586571,false,0.2811,22,4.82
11,"green-accent",#6c7e6a,false,0.1388,14,0.00
11,"gray-accent",#586571,false,0.2811,22,11.18
11.5,"background (deltaE=14 anchor)",#c8baa5,true,63.8036,38,0.37
11.5,"highlight/cream",#ede2d6,false,3.0793,17,2.63
11.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
11.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
11.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
11.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
11.5,"gray-accent",#757b7d,false,0.1835,14,0.00
12,"background (deltaE=14 anchor)",#c7b8a3,true,66.8146,42,0.49
12,"highlight/cream",#ede2d6,false,3.0793,17,2.63
12,"ink-dark",#2e1e11,false,2.2543,14,0.00
12,"ink-mid",#4e3b2c,false,5.7252,17,0.00
12,"blue-accent",#4e5c6d,false,0.1726,12,0.00
12,"green-accent",#6c7e6a,false,0.1388,14,0.00
12,"gray-accent",#757b7d,false,0.1835,14,0.00
12.5,"background (deltaE=14 anchor)",#c7b8a3,true,66.8336,43,0.49
12.5,"highlight/cream",#eee2d6,false,3.0557,15,2.50
12.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
12.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
12.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
12.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
12.5,"gray-accent",#8b877f,false,0.5286,20,8.70
13,"background (deltaE=14 anchor)",#c7b8a3,true,66.8382,44,0.49
13,"highlight/cream",#eee2d6,false,3.0557,15,2.50
13,"ink-dark",#2e1e11,false,2.2543,14,0.00
13,"ink-mid",#4e3b2c,false,5.7252,17,0.00
13,"blue-accent",#4e5c6d,false,0.1726,12,0.00
13,"green-accent",#6c7e6a,false,0.1388,14,0.00
13,"gray-accent",#757b7d,false,0.1835,14,0.00
13.5,"background (deltaE=14 anchor)",#c7b9a3,true,66.9139,45,0.53
13.5,"highlight/cream",#eee2d5,false,3.1574,19,2.11
13.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
13.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
13.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
13.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
13.5,"gray-accent",#757b7d,false,0.1835,14,0.00
14,"background (deltaE=14 anchor)",#c7b9a4,true,68.0201,49,0.00
14,"highlight/cream",#f3e6d6,false,2.0859,16,0.00
14,"ink-dark",#2e1e11,false,2.2543,14,0.00
14,"ink-mid",#4e3b2c,false,5.7252,17,0.00
14,"blue-accent",#4e5c6d,false,0.1726,12,0.00
14,"green-accent",#6c7e6a,false,0.1388,14,0.00
14,"gray-accent",#757b7d,false,0.1835,14,0.00
14.5,"background (deltaE=14 anchor)",#c7b9a4,true,68.7540,51,0.00
14.5,"highlight/cream",#f3e6d6,false,1.9347,15,0.00
14.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
14.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
14.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
14.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
14.5,"gray-accent",#757b7d,false,0.1835,14,0.00
15,"background (deltaE=14 anchor)",#c5b7a1,true,73.6107,59,0.94
15,"highlight/cream",#f4e8d8,false,1.8079,10,0.73
15,"ink-dark",#2e1e11,false,2.2543,14,0.00
15,"ink-mid",#4e3b2c,false,5.7252,17,0.00
15,"blue-accent",#4e5c6d,false,0.1726,12,0.00
15,"green-accent",#6a7c69,false,0.1332,13,0.94
15,"gray-accent",#757b7d,false,0.1835,14,0.00
15.5,"background (deltaE=14 anchor)",#c6b7a1,true,74.0828,62,0.97
15.5,"highlight/cream",#f6e9d9,false,1.4116,9,1.05
15.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
15.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
15.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
15.5,"green-accent",#6a7c69,false,0.1332,13,0.94
15.5,"gray-accent",#757b7d,false,0.1835,14,0.00
16,"background (deltaE=14 anchor)",#c6b7a1,true,74.7246,66,0.97
16,"highlight/cream",#f6ebdd,false,1.0965,9,2.10
16,"ink-dark",#2e1e11,false,2.2543,14,0.00
16,"ink-mid",#4e3b2c,false,5.7252,17,0.00
16,"blue-accent",#4e5c6d,false,0.1726,12,0.00
16,"green-accent",#6a7c69,false,0.1332,13,0.94
16,"gray-accent",#757b7d,false,0.1835,14,0.00
16.5,"background (deltaE=14 anchor)",#c6b7a1,true,74.7246,66,0.97
16.5,"highlight/cream",#f6ebdd,false,1.0965,9,2.10
16.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
16.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
16.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
16.5,"green-accent",#6a7c69,false,0.1332,13,0.94
16.5,"gray-accent",#757b7d,false,0.1835,14,0.00
17,"background (deltaE=14 anchor)",#c6b7a2,true,75.7097,68,0.77
17,"highlight/cream",#f7eee3,false,0.5398,8,4.00
17,"ink-dark",#2e1e11,false,2.2543,14,0.00
17,"ink-mid",#4e3b2c,false,5.7252,17,0.00
17,"blue-accent",#4e5c6d,false,0.1726,12,0.00
17,"green-accent",#6a7c69,false,0.1332,13,0.94
17,"gray-accent",#757b7d,false,0.1835,14,0.00
